"bodyid","post","pre","downstream","upstream","synweight","class","description","entryNerve","exitNerve","group","name","longTract","ntAcetylcholineProb","ntGabaProb","ntGlutamateProb","ntUnknownProb","origin","location","locationType","predictedNtProb","prefix","rootLocation","rootSide","statusLabel","subclass","synonyms","systematicType","target","transmission","type","vfbId","avgLocation","birthtime","hemilineage","serial","serialMotif","somaNeuromere","somaSide","subcluster","modality","tag","cluster","receptorType","subclassabbr","tosomaLocation","source","somaLocation","status","totalNtPredictions","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","voxels","soma"
"100598",969,307,2122,969,3091,"intrinsic neuron","4B?",NA,NA,15103,"IN04B068_T3_L",NA,0.879983365535736,0.0325409360229969,0.084483377635479,0.0029923259280622,"LegNpT3_L","21013,20266,7713","soma",0.879983365535736,"IR","",NA,"Roughly traced","IR",NA,"IN04B068","LegNpT3_L",NA,"IN04B068","VFB_jrcv25me","","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"21013,20266,7713","Traced",307,"acetylcholine",5321,"acetylcholine",539026566,TRUE
"101398",1352,343,2192,1352,3544,"intrinsic neuron",NA,NA,NA,17048,"IN04B052_T3_L",NA,0.708563566207886,0.115431658923626,0.171376273036003,0.00462848786264658,"LegNpT3_L","20090,22438,5751","soma",0.708563566207886,"IR","",NA,"Roughly traced","IR",NA,"IN04B052","LegNpT3_L",NA,"IN04B052","VFB_jrcv268m","","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"20090,22438,5751","Traced",343,"acetylcholine",716,"acetylcholine",721088589,TRUE
"101578",1878,428,3146,1878,5024,"intrinsic neuron","4B? in T3 LHS","None",NA,19994,"IN04B100_T3_L",NA,0.660399615764618,0.0927066206932068,0.23617759346962,0.0107161682099104,"LegNpT3_L","21223,23732,11640","user",0.658909857273102,"IR","",NA,"Roughly traced","IR",NA,"IN04B100","LegNpT3_L",NA,"IN04B100","VFB_jrcv26dm","21328,23494,11640","secondary","04B",19994,"independent leg","T3","LHS",19994,NA,NA,NA,NA,NA,"",NA,"20215,23056,5734","Traced",428,"acetylcholine",8209,"acetylcholine",622273781,TRUE
"101877",910,506,3377,910,4287,"intrinsic neuron","20A in T3 LHS","None",NA,14744,"IN04B032_T3_L",NA,0.897194743156433,0.0352922156453133,0.0631714090704918,0.0043416447006166,"LegNpT3_L","22512,17849,13301","user",0.897194743156433,"BR","",NA,"Roughly traced","BR",NA,"IN04B032","LegNpT3_L",NA,"IN04B032","VFB_jrcv26lx","22634,18019,13301","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"20955,19161,4004","Traced",506,"acetylcholine",5133,"acetylcholine",839457946,TRUE
"10387",10840,2456,21496,10840,32336,"intrinsic neuron",NA,NA,NA,10387,"IN04B001_T3_L",NA,0.925813257694244,0.0163085721433163,0.0541160255670547,0.00376215693540871,"LegNpT3_L","18326,24217,7508","soma",0.925813257694244,"II","",NA,"Roughly traced","II",NA,"IN04B001","LegNp_L.ANm_L",NA,"IN04B001","VFB_jrcv080j","","early secondary","04B",10179,"complex","T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"18326,24217,7508","Traced",2456,"acetylcholine",4883,"acetylcholine",4979164706,TRUE
"11350",3904,1816,14129,3904,18033,"intrinsic neuron","4B in T3 LHS","None",NA,11350,"IN04B004_T3_L",NA,0.916450560092926,0.0207745172083378,0.056930236518383,0.00584465311840177,"LegNpT3_L","21090,23950,11640","user",0.916450560092926,"II","",NA,"Roughly traced","II",NA,"IN04B004","LegNpT3_L",NA,"IN04B004","VFB_jrcv08ra","21328,23494,11640","primary","04B",11350,"complex","T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19423,23490,5050","Traced",1816,"acetylcholine",4855,"acetylcholine",2578695360,TRUE
"11517",3955,1133,8758,3955,12713,"intrinsic neuron",NA,NA,NA,11467,"IN04B005_T3_L",NA,0.891703128814697,0.0164568554610014,0.0874957740306854,0.00434424635022879,"LegNpT3_L","18931,24013,6303","soma",0.891703128814697,"BR","",NA,"Roughly traced","BR",NA,"IN04B005","LegNpT3_L",NA,"IN04B005","VFB_jrcv08vx","","primary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"18931,24013,6303","Traced",1133,"acetylcholine",2256,"acetylcholine",2369366472,TRUE
"12110",2929,1278,9606,2929,12535,"intrinsic neuron","4B in T3 LHS","None",NA,12110,"IN04B007_T3_L",NA,0.862948536872864,0.0482472218573093,0.0824960768222809,0.00630817981436849,"LegNpT3_L","21012,24021,11640","user",0.862948536872864,"IR","",NA,"Roughly traced","IR",NA,"IN04B007","LegNpT3_L",NA,"IN04B007","VFB_jrcv09ce","21328,23494,11640","primary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19302,23528,7103","Traced",1278,"acetylcholine",2603,"acetylcholine",1951800156,TRUE
"12875",3079,864,5946,3079,9025,"intrinsic neuron",NA,NA,NA,12853,"IN04B008_T3_L",NA,0.852264881134033,0.0437447354197502,0.0960482135415077,0.00794217549264431,"LegNpT3_L","19362,23785,6389","soma",0.852264881134033,"IR","",NA,"Roughly traced","IR",NA,"IN04B008","LegNpT3_L",NA,"IN04B008","VFB_jrcv09xn","","primary","04B",11945,"independent leg","T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19362,23785,6389","Traced",864,"acetylcholine",6074,"acetylcholine",1586384819,TRUE
"13043",2081,808,5885,2081,7966,"ascending neuron",NA,"None","CvC",11997,"AN04B003_T3_L","MDA",0.932054340839386,0.0182628631591797,0.0438453070819378,0.00583748472854495,"LegNpT3_L","22736,36262,67070","user",0.932054340839386,"IA","","LHS","Roughly traced","IA",NA,"AN04B003","multi",NA,"AN04B003","VFB_jrcv0a2b","","primary","04B",10394,"ascending","T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19740,18787,3901","Traced",808,"acetylcholine",4145,"acetylcholine",2341211076,TRUE
