"bodyid","post","pre","downstream","upstream","synweight","class","description","entryNerve","exitNerve","group","name","longTract","ntAcetylcholineProb","ntGabaProb","ntGlutamateProb","ntUnknownProb","origin","location","locationType","predictedNtProb","prefix","rootLocation","rootSide","statusLabel","subclass","synonyms","systematicType","target","transmission","type","vfbId","avgLocation","birthtime","hemilineage","serial","serialMotif","somaNeuromere","somaSide","subcluster","modality","tag","cluster","receptorType","subclassabbr","tosomaLocation","source","somaLocation","status","totalNtPredictions","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","voxels","soma"
"10414",13110,2427,21816,13110,34926,"intrinsic neuron",NA,NA,NA,10387,"IN04B001_T3_R",NA,0.853978931903839,0.0225736740976572,0.11982649564743,0.00362087716348469,"LegNpT3_R","23845,26159,6525","soma",0.853978931903839,"II","",NA,"Roughly traced","II",NA,"IN04B001","LegNp_R.ANm_R",NA,"IN04B001","VFB_jrcv081a","","early secondary","04B",10179,"complex","T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23845,26159,6525","Traced",2427,"acetylcholine",4883,"acetylcholine",4312554687,TRUE
"11467",3939,1123,8162,3939,12101,"intrinsic neuron",NA,NA,NA,11467,"IN04B005_T3_R",NA,0.90396249294281,0.0133426915854216,0.079492874443531,0.00320197083055973,"LegNpT3_R","22421,26238,8110","soma",0.903160512447357,"BR","",NA,"Roughly traced","BR",NA,"IN04B005","LegNpT3_R",NA,"IN04B005","VFB_jrcv08uj","","primary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22421,26238,8110","Traced",1123,"acetylcholine",2256,"acetylcholine",2403366319,TRUE
"11490",4318,2028,15208,4318,19526,"intrinsic neuron",NA,NA,NA,11350,"IN04B004_T3_R",NA,0.948478579521179,0.00830300524830818,0.0403078012168407,0.00291063683107495,"LegNpT3_R","23201,24913,5212","soma",0.949204444885254,"II","",NA,"Roughly traced","II",NA,"IN04B004","LegNpT3_R",NA,"IN04B004","VFB_jrcv08v6","","primary","04B",11350,"complex","T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23201,24913,5212","Traced",2028,"acetylcholine",4855,"acetylcholine",2757374128,TRUE
"11997",2530,879,6279,2530,8809,"ascending neuron","looks like 4B but runs with 6A I think","None","CvC",11997,"AN04B003_T3_R","MDA",0.904805064201355,0.0140064219012856,0.0770474597811699,0.00414107087999582,"LegNpT3_R","23772,36224,67070","user",0.904805064201355,"IA","","RHS","Roughly traced","IA",NA,"AN04B003","LegNp_R",NA,"AN04B003","VFB_jrcv0999","","primary","04B",10394,"ascending","T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23593,20141,3482","Traced",879,"acetylcholine",4145,"acetylcholine",2558222433,TRUE
"12772",2718,1325,9660,2718,12378,"intrinsic neuron",NA,NA,NA,12110,"IN04B007_T3_R",NA,0.921759843826294,0.0222434885799885,0.0507989414036274,0.00519769918173552,"LegNpT3_R","23214,26150,6414","soma",0.921439230442047,"IR","",NA,"Roughly traced","IR",NA,"IN04B007","LegNpT3_R",NA,"IN04B007","VFB_jrcv09us","","primary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23214,26150,6414","Traced",1325,"acetylcholine",2603,"acetylcholine",1942891030,TRUE
"12853",2985,845,5263,2985,8248,"intrinsic neuron",NA,NA,NA,12853,"IN04B008_T3_R",NA,0.886278212070465,0.0222252476960421,0.0845269188284874,0.00696960743516684,"LegNpT3_R","23652,26561,6818","soma",0.886278212070465,"IR","",NA,"Roughly traced","IR",NA,"IN04B008","LegNpT3_R",NA,"IN04B008","VFB_jrcv09x1","","primary","04B",11945,"independent leg","T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23652,26561,6818","Traced",845,"acetylcholine",6074,"acetylcholine",1600255534,TRUE
"13165",1716,445,3450,1716,5166,"intrinsic neuron","20A in T3 RHS","None",NA,13165,"IN04B064_T3_R",NA,0.968335866928101,0.00711721368134022,0.0224817302078009,0.00206520897336304,"LegNpT3_R","23960,18318,12426","user",0.968335866928101,"BR","",NA,"Roughly traced","BR",NA,"IN04B064","LegNpT3_R",NA,"IN04B064","VFB_jrcv0a5p","24143,18230,12426","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22538,21364,2749","Traced",445,"acetylcholine",1766,"acetylcholine",711214514,TRUE
"14320",1174,497,3042,1174,4216,"intrinsic neuron","4B? in T3 RHS","None",NA,14320,"IN04B043_T3_R",NA,0.863941967487335,0.0413052439689636,0.0914333164691925,0.00331949768587947,"LegNpT3_R","22006,23172,11060","user",0.863941967487335,"IR","",NA,"Roughly traced","IR",NA,"IN04B043","LegNpT3_R",NA,"IN04B043","VFB_jrcv0b1s","22037,23909,11060","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23193,22937,5229","Traced",497,"acetylcholine",1628,"acetylcholine",972989157,TRUE
"14830",993,362,2236,993,3229,"intrinsic neuron","20A? in T3 RHS","None",NA,14830,"IN04B060_T3_R",NA,0.934850990772247,0.0146712670102715,0.0458690114319324,0.00460872333496809,"LegNpT3_R","24360,18225,12426","user",0.936240077018738,"BR","",NA,"Roughly traced","BR",NA,"IN04B060","LegNpT3_R",NA,"IN04B060","VFB_jrcv0bfy","24143,18230,12426","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23716,20742,2281","Traced",362,"acetylcholine",2455,"acetylcholine",699797870,TRUE
"14958",1569,367,2319,1569,3888,"intrinsic neuron","4B? in T3 RHS","None",NA,14958,"IN04B042_T3_R",NA,0.885517418384552,0.0275738369673491,0.0829517170786858,0.00395703874528408,"LegNpT3_R","22017,23543,11060","user",0.885517418384552,"IR","",NA,"Roughly traced","IR",NA,"IN04B042","LegNpT3_R",NA,"IN04B042","VFB_jrcv0bji","22037,23909,11060","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23190,24130,6410","Traced",367,"acetylcholine",658,"acetylcholine",762325641,TRUE
