neuromere,morphology_cluster_id,n_cells
T1L,BI_1_1,6
T1R,BI_1_1,6
T2L,BI_1_1,3
T2R,BI_1_1,3
T1L,BR_1_1,26
T1R,BR_1_1,28
T2L,BR_1_1,27
T2R,BR_1_1,28
T3L,BR_1_1,26
T3R,BR_1_1,24
T1L,IA_1_1,4
T1R,IA_1_1,4
T2L,IA_1_1,3
T2R,IA_1_1,3
T3L,IA_1_1,2
T3R,IA_1_1,2
T2L,II_1_1,4
T2R,II_1_1,4
T3L,II_1_1,2
T3R,II_1_1,2
T1L,IR_1_1,6
T1R,IR_1_1,2
T2L,IR_1_1,5
T2R,IR_1_1,2
T3L,IR_1_1,10
T3R,IR_1_1,11
T1L,IR_1_2,4
T1R,IR_1_2,11
T2L,IR_1_2,7
T2R,IR_1_2,10
T3L,IR_1_2,2
T3R,IR_1_2,8
T1L,IR_1_3,7
T1R,IR_1_3,5
T2L,IR_1_3,4
T2R,IR_1_3,3
T3L,IR_1_3,5
T3R,IR_1_3,3
T1L,IR_1_4,7
T1R,IR_1_4,5
T2L,IR_1_4,4
T2R,IR_1_4,7
T3L,IR_1_4,2
T3R,IR_1_4,3
T1L,IR_1_5,2
T1R,IR_1_5,3
T2L,IR_1_5,2
T2R,IR_1_5,2
T3L,IR_1_5,3
T3R,IR_1_5,1
T1L,IR_1_6,4
T2L,IR_1_6,1
T2R,IR_1_6,2
T3L,IR_1_6,1
T1L,IR_2_1,5
T1R,IR_2_1,4
T2L,IR_2_1,6
T2R,IR_2_1,3
T3L,IR_2_1,8
T3R,IR_2_1,8
T1L,IR_2_2,14
T1R,IR_2_2,9
T2L,IR_2_2,8
T2R,IR_2_2,6
T3L,IR_2_2,11
T3R,IR_2_2,17
T1L,IR_2_3,2
T1R,IR_2_3,3
T2L,IR_2_3,5
T2R,IR_2_3,5
T3L,IR_2_3,5
T3R,IR_2_3,6
T1L,IR_2_4,6
T1R,IR_2_4,2
T2L,IR_2_4,4
T2R,IR_2_4,3
T3L,IR_2_4,3
T3R,IR_2_4,2
T1L,IR_2_5,2
T1R,IR_2_5,7
T2L,IR_2_5,2
T2R,IR_2_5,2
T3L,IR_2_5,3
T3R,IR_2_5,1
T1L,IR_2_6,1
T1R,IR_2_6,3
T2L,IR_2_6,4
T2R,IR_2_6,9
T3L,IR_2_6,5
T3R,IR_2_6,2
T1R,IR_2_7,1
T2L,IR_2_7,3
T2R,IR_2_7,3
T3L,IR_2_7,1
T3R,IR_2_7,1
