neuromere,bodyId,group_var,major_class,subclass_level1,morphology_cluster,morphology_cluster_id,legacy_tag,type,instance,class,subclass,hemilineage,somaNeuromere,somaSide,rootSide,longTract,birthtime
T1L,18724,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B093,IN04B093_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,19985,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B093,IN04B093_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,27760,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B115,IN04B115_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,22997,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B102,IN04B102_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,13770,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B026,IN04B026_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,16224,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B092,IN04B092_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,20585,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B095,IN04B095_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,23790,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B097,IN04B097_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,26388,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B112,IN04B112_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,102536,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B092,IN04B092_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,17567,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B059,IN04B059_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,18156,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B059,IN04B059_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,18253,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B070,IN04B070_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,18629,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B070,IN04B070_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,18990,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B102,IN04B102_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
T1L,22868,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B098,IN04B098_T1_L,intrinsic neuron,IR,04B,T1,LHS,,,secondary
