id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
1928,2024-08-19 22:25:00.972923+00:00,,True,04B,left_t1,72835363022115425,648518346484854605,[ 24296 112237   3772]
1929,2024-08-19 22:25:00.973598+00:00,,True,04B,left_t1,72905731766357679,648518346489122282,[ 25666 111706   3772]
1930,2024-08-19 22:25:00.974262+00:00,,True,04B,left_t1,72905731766279436,648518346494944419,[ 25448 112237   3745]
1931,2024-08-19 22:25:00.975012+00:00,,True,04B,left_t1,72905731766418868,648518346487496339,[ 25666 110844   3795]
1932,2024-08-19 22:25:00.975652+00:00,,True,04B,left_t1,73046263029288329,648518346489997619,[ 29164 105783   3712]
1933,2024-08-19 22:25:00.976294+00:00,,True,04B,left_t1,73046263095979431,648518346500024019,[ 28834 105783   3724]
1934,2024-08-19 22:25:00.976932+00:00,,True,04B,left_t1,72835362955172650,648518346491273848,[ 24406 112237   3710]
1935,2024-08-19 22:25:00.977554+00:00,,True,04B,left_t1,72905731766328383,648518346491014573,[ 25666 111441   3759]
1936,2024-08-19 22:25:00.978192+00:00,,True,04B,left_t1,72905731699567424,648518346481237338,[ 24831 112237   3719]
1937,2024-08-19 22:25:00.978803+00:00,,True,04B,left_t1,73046263029344345,648518346472485067,[ 29284 105783   3720]
1938,2024-08-19 22:25:00.979421+00:00,,True,04B,left_t1,72905731699344733,648518346504134862,[ 24579 112237   3707]
1939,2024-08-19 22:25:00.980032+00:00,,True,04B,left_t1,72905731766353007,648518346502181193,[ 25666 111502   3771]
1940,2024-08-19 22:25:00.980635+00:00,,True,04B,left_t1,72835363022087055,648518346520739638,[ 24075 112237   3758]
1941,2024-08-19 22:25:00.981283+00:00,,True,04B,left_t1,72905731766321556,648518346499841605,[ 24913 112237   3760]
1942,2024-08-19 22:25:00.981903+00:00,,True,04B,left_t1,73046263029344694,648518346494502120,[ 29048 105783   3715]
1943,2024-08-19 22:25:00.983483+00:00,,True,04B,left_t1,72835363021875661,648518346476708214,[ 24204 112237   3724]
1944,2024-08-19 22:25:00.984111+00:00,,True,04B,left_t1,72905731766328654,648518346514410695,[ 25666 111965   3758]
1945,2024-08-19 22:25:00.984711+00:00,,True,04B,left_t1,72835362955166754,648518346510104378,[ 24228 112237   3711]
1946,2024-08-19 22:25:00.985307+00:00,,True,04B,left_t1,73046263096205665,648518346489004785,[ 29563 105783   3740]
1947,2024-08-19 22:25:00.985925+00:00,,True,04B,left_t1,72835362955189073,648518346517721448,[ 23816 112237   3721]
1948,2024-08-19 22:25:00.986530+00:00,,True,04B,left_t1,73046263029392767,648518346491625658,[ 29045 105783   3720]
1949,2024-08-19 22:25:00.987140+00:00,,True,04B,left_t1,72835362955166790,648518346489940940,[ 23997 112237   3717]
1950,2024-08-19 22:25:00.987756+00:00,,True,04B,left_t1,72835363022089450,648518346496991533,[ 24276 112237   3762]
1951,2024-08-19 22:25:00.988361+00:00,,True,04B,left_t1,72835431741517280,648518346472581385,[ 23651 112710   3730]
1952,2024-08-19 22:25:00.988973+00:00,,True,04B,left_t1,73046263096178583,648518346495533750,[ 28922 105783   3731]
1953,2024-08-19 22:25:00.989572+00:00,,True,04B,left_t1,72905731766391947,648518346495097010,[ 25666 111573   3793]
1954,2024-08-19 22:25:00.990184+00:00,,True,04B,left_t1,72905731766400826,648518346482991013,[ 25666 111710   3795]
1955,2024-08-19 22:25:00.990777+00:00,,True,04B,left_t1,72835362955311330,648518346488509423,[ 24130 112237   3717]
1956,2024-08-19 22:25:00.991483+00:00,,True,04B,left_t1,72905731766402915,648518346490040347,[ 25666 111008   3791]
1957,2024-08-19 22:25:00.992096+00:00,,True,04B,left_t1,72905731766341740,648518346494300683,[ 24702 112237   3769]
1958,2024-08-19 22:25:00.992689+00:00,,True,04B,left_t1,72835363022096141,648518346501445910,[ 24170 112237   3762]
