neuromere,bodyId,group_var,major_class,subclass_level1,morphology_cluster,morphology_cluster_id,legacy_tag,type,instance,class,subclass,hemilineage,somaNeuromere,somaSide,rootSide,longTract,birthtime
T1R,21001,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B095,IN04B095_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,25160,ir_1_1_ids,IR,1,1,IR_1_1,04B,IN04B112,IN04B112_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,17314,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B059,IN04B059_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,17584,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B081,IN04B081_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,21134,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B081,IN04B081_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,21782,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B081,IN04B081_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,22762,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B098,IN04B098_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,22783,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B070,IN04B070_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,23171,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B098,IN04B098_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,23545,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B098,IN04B098_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,33190,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B115,IN04B115_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,166416,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B104,IN04B104_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,17740,ir_1_2_ids,IR,1,2,IR_1_2,04B,IN04B092,IN04B092_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,20885,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B093,IN04B093_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,22787,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B097,IN04B097_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,23029,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B102,IN04B102_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,23152,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B093,IN04B093_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,28560,ir_1_3_ids,IR,1,3,IR_1_3,04B,IN04B102,IN04B102_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,13465,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B026,IN04B026_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,14088,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B009,IN04B009_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,14434,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B009,IN04B009_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,15369,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B009,IN04B009_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,14467,ir_1_4_ids,IR,1,4,IR_1_4,04B,IN04B025,IN04B025_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,14944,ir_1_5_ids,IR,1,5,IR_1_5,04B,IN04B101,IN04B101_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,20137,ir_1_5_ids,IR,1,5,IR_1_5,04B,IN04B101,IN04B101_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,24408,ir_1_5_ids,IR,1,5,IR_1_5,04B,IN04B101,IN04B101_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,17429,ir_2_04B_1_ids,IR,2,1,IR_2_1,20A,IN04B034,IN04B034_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,early secondary
T1R,18861,ir_2_04B_1_ids,IR,2,1,IR_2_1,20A,IN04B038,IN04B038_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,early secondary
T1R,102322,ir_2_04B_1_ids,IR,2,1,IR_2_1,20A,IN04B034,IN04B034_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,early secondary
T1R,14886,ir_2_04B_2_ids,IR,2,2,IR_2_2,20A,IN04B091,IN04B091_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
T1R,18712,ir_2_04B_2_ids,IR,2,2,IR_2_2,20A,IN04B037,IN04B037_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,early secondary
T1R,20520,ir_2_04B_2_ids,IR,2,2,IR_2_2,20A,IN04B094,IN04B094_T1_R,intrinsic neuron,IR,04B,T1,RHS,,,secondary
