state_title,segment_id,manual_morphology_cluster,manc_type,layer_type,visible,note
4B analysis + manual IR layers,10068,manc:v1.2.1-TTMn,,segmentation,False,
4B analysis + manual IR layers,1,all-tissue,,segmentation,False,
4B analysis + manual IR layers,1,all-synaptic,,segmentation,,
4B analysis + manual IR layers,10,neuropils,,segmentation,,
4B analysis + manual IR layers,11,neuropils,,segmentation,,
4B analysis + manual IR layers,12,neuropils,,segmentation,,
4B analysis + manual IR layers,13,neuropils,,segmentation,,
4B analysis + manual IR layers,14,neuropils,,segmentation,,
4B analysis + manual IR layers,15,neuropils,,segmentation,,
4B analysis + manual IR layers,16,neuropils,,segmentation,,
4B analysis + manual IR layers,17,neuropils,,segmentation,,
4B analysis + manual IR layers,18,neuropils,,segmentation,,
4B analysis + manual IR layers,19,neuropils,,segmentation,,
4B analysis + manual IR layers,20,neuropils,,segmentation,,
4B analysis + manual IR layers,21,neuropils,,segmentation,,
4B analysis + manual IR layers,22,neuropils,,segmentation,,
4B analysis + manual IR layers,23,neuropils,,segmentation,,
4B analysis + manual IR layers,24,neuropils,,segmentation,,
4B analysis + manual IR layers,25,neuropils,,segmentation,,
4B analysis + manual IR layers,26,neuropils,,segmentation,,
4B analysis + manual IR layers,27,neuropils,,segmentation,,
4B analysis + manual IR layers,4,neuropils,,segmentation,,
4B analysis + manual IR layers,5,neuropils,,segmentation,,
4B analysis + manual IR layers,6,neuropils,,segmentation,,
4B analysis + manual IR layers,7,neuropils,,segmentation,,
4B analysis + manual IR layers,8,neuropils,,segmentation,,
4B analysis + manual IR layers,9,neuropils,,segmentation,,
4B analysis + manual IR layers,1,nerves,,segmentation,False,
4B analysis + manual IR layers,10,nerves,,segmentation,False,
4B analysis + manual IR layers,11,nerves,,segmentation,False,
4B analysis + manual IR layers,12,nerves,,segmentation,False,
4B analysis + manual IR layers,13,nerves,,segmentation,False,
4B analysis + manual IR layers,14,nerves,,segmentation,False,
4B analysis + manual IR layers,15,nerves,,segmentation,False,
4B analysis + manual IR layers,16,nerves,,segmentation,False,
4B analysis + manual IR layers,17,nerves,,segmentation,False,
4B analysis + manual IR layers,18,nerves,,segmentation,False,
4B analysis + manual IR layers,19,nerves,,segmentation,False,
4B analysis + manual IR layers,2,nerves,,segmentation,False,
4B analysis + manual IR layers,20,nerves,,segmentation,False,
4B analysis + manual IR layers,21,nerves,,segmentation,False,
4B analysis + manual IR layers,22,nerves,,segmentation,False,
4B analysis + manual IR layers,23,nerves,,segmentation,False,
4B analysis + manual IR layers,24,nerves,,segmentation,False,
4B analysis + manual IR layers,25,nerves,,segmentation,False,
4B analysis + manual IR layers,26,nerves,,segmentation,False,
4B analysis + manual IR layers,27,nerves,,segmentation,False,
4B analysis + manual IR layers,28,nerves,,segmentation,False,
4B analysis + manual IR layers,29,nerves,,segmentation,False,
4B analysis + manual IR layers,3,nerves,,segmentation,False,
4B analysis + manual IR layers,30,nerves,,segmentation,False,
4B analysis + manual IR layers,31,nerves,,segmentation,False,
4B analysis + manual IR layers,32,nerves,,segmentation,False,
4B analysis + manual IR layers,33,nerves,,segmentation,False,
4B analysis + manual IR layers,34,nerves,,segmentation,False,
4B analysis + manual IR layers,35,nerves,,segmentation,False,
4B analysis + manual IR layers,4,nerves,,segmentation,False,
4B analysis + manual IR layers,5,nerves,,segmentation,False,
4B analysis + manual IR layers,6,nerves,,segmentation,False,
4B analysis + manual IR layers,7,nerves,,segmentation,False,
4B analysis + manual IR layers,8,nerves,,segmentation,False,
4B analysis + manual IR layers,9,nerves,,segmentation,False,
4B analysis + manual IR layers,100,court et al. tracts,,segmentation,,
4B analysis + manual IR layers,101,court et al. tracts,,segmentation,,
4B analysis + manual IR layers,102,court et al. tracts,,segmentation,,
4B analysis + manual IR layers,103,court et al. tracts,,segmentation,,
4B analysis + manual IR layers,104,court et al. tracts,,segmentation,,
4B analysis + manual IR layers,105,court et al. tracts,,segmentation,,
4B analysis + manual IR layers,106,court et al. tracts,,segmentation,,
4B analysis + manual IR layers,10024,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,100339,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,100525,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,101447,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,101453,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,102138,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,102536,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,10314,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,11143,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,12523,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,13128,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,13409,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,13436,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,13455,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,13506,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,13589,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,13770,manc-seg-v1.2-4B-all,,segmentation,,
4B analysis + manual IR layers,13798,manc-seg-v1.2-4B-all,,segmentation,,
