layer_name,segment_id,type,instance,class,subclass,description,serialMotif,description JHS,anatomy
MANC_v1.2.3_BA,17490,AN04B051,AN04B051_T1_L,ascending neuron,BA,pred ChAT,,BA morphology,"stretchy thin neuron, extends anterior and posterior outside of T1"
MANC_v1.2.3_BI,11143,IN04B002,IN04B002_T1_L,intrinsic neuron,BI,pred ChAT,,BI morphology,fuzzy and extends into T2 and T3
MANC_v1.2.3_BI,14031,IN04B028,IN04B028_T1_L,intrinsic neuron,BI,,,BI morphology,fuzzy and extends into T2 and T3
MANC_v1.2.3_BI,15393,IN04B024,IN04B024_T1_L,intrinsic neuron,BI,20A? in T1 LHS,,BI morphology,fuzzy and extends into T2 and T3
MANC_v1.2.3_BI,15401,IN04B010,IN04B010_T1_L,intrinsic neuron,BI,20A in T1 LHS,,BI morphology,fuzzy and extends into T2 and T3
MANC_v1.2.3_BI,15969,IN04B028,IN04B028_T1_L,intrinsic neuron,BI,4B in T1 LHS,,BI morphology,fuzzy and extends into T2 and T3
MANC_v1.2.3_BI,16293,IN04B024,IN04B024_T1_L,intrinsic neuron,BI,20A in T1 LHS,,BI morphology,fuzzy and extends into T2 and T3
MANC_v1.2.3_IA,10314,AN04B001,AN04B001_T1_L,ascending neuron,IA,4B? primary in T1 LHS,complex,IA morphology,ascending and desendign neurites- outside of neuropil
MANC_v1.2.3_IA,13436,AN04B003,AN04B003_T1_L,ascending neuron,IA,,ascending,IA morphology,ascending and desendign neurites- outside of neuropil
MANC_v1.2.3_IA,17395,AN04B004,AN04B004_T1_L,ascending neuron,IA,pred ChAT; 4B in T1 LHS,complex,IA morphology,ascending and desendign neurites- outside of neuropil
MANC_v1.2.3_IA,19912,AN04B023,AN04B023_T1_L,ascending neuron,IA,1B? pred ChAT,ascending,IA morphology,ascending and desendign neurites- outside of neuropil
