source_id,source_type,source_instance,target_id,target_type,target_instance,synapses
10322,AN07B003,AN07B003_T2_L,11240,IN13A009,IN13A009_T2_R,156
10322,AN07B003,AN07B003_T2_L,15006,Tr flexor MN,MNml12_MesoLN_R,151
10322,AN07B003,AN07B003_T2_L,16526,IN17A061,IN17A061_T2_R,147
10322,AN07B003,AN07B003_T2_L,10565,IN13A009,IN13A009_T3_R,116
10322,AN07B003,AN07B003_T2_L,12479,IN16B016,IN16B016_T1_R,112
10322,AN07B003,AN07B003_T2_L,11340,IN08A007,IN08A007_T3_R,104
10322,AN07B003,AN07B003_T2_L,10537,IN09A003,IN09A003_T2_R,102
10322,AN07B003,AN07B003_T2_L,14795,IN17A061,IN17A061_T2_R,100
10322,AN07B003,AN07B003_T2_L,21272,IN04B102,IN04B102_T2_R,92
10322,AN07B003,AN07B003_T2_L,11411,IN19A016,IN19A016_T3_R,92
10322,AN07B003,AN07B003_T2_L,11109,IN19B012,IN19B012_T2_L,88
10322,AN07B003,AN07B003_T2_L,15372,IN17A061,IN17A061_T1_R,85
10322,AN07B003,AN07B003_T2_L,11984,IN19B012,IN19B012_T3_L,84
10322,AN07B003,AN07B003_T2_L,10233,IN19A005,IN19A005_T2_R,82
10322,AN07B003,AN07B003_T2_L,10154,IN19A003,IN19A003_T1_R,82
10322,AN07B003,AN07B003_T2_L,19236,IN17A061,IN17A061_T3_R,79
10322,AN07B003,AN07B003_T2_L,13232,INXXX140,INXXX140_T3_R,79
10322,AN07B003,AN07B003_T2_L,22793,IN04B102,IN04B102_T2_R,75
10322,AN07B003,AN07B003_T2_L,12028,IN08A007,IN08A007_T2_R,75
10322,AN07B003,AN07B003_T2_L,24561,IN04B107,IN04B107_T3_R,71
10322,AN07B003,AN07B003_T2_L,15497,IN17A061,IN17A061_T1_R,71
10322,AN07B003,AN07B003_T2_L,10397,AN12B005,AN12B005_T3_R,71
10322,AN07B003,AN07B003_T2_L,10377,IN21A002,IN21A002_T3_R,71
10322,AN07B003,AN07B003_T2_L,10259,IN19A005,IN19A005_T1_R,71
10322,AN07B003,AN07B003_T2_L,171948,Tr flexor MN,MNml12_MesoLN_R,70
10322,AN07B003,AN07B003_T2_L,16140,IN13A034,IN13A034_T2_R,70
10322,AN07B003,AN07B003_T2_L,10632,IN17B004,IN17B004_T2_R,65
10322,AN07B003,AN07B003_T2_L,10230,IN13A009,IN13A009_T1_R,65
10322,AN07B003,AN07B003_T2_L,20421,IN17A061,IN17A061_T3_R,64
10322,AN07B003,AN07B003_T2_L,11716,IN16B016,IN16B016_T3_R,61
10322,AN07B003,AN07B003_T2_L,10125,IN19A008,IN19A008_T2_R,61
10322,AN07B003,AN07B003_T2_L,19392,IN13A034,IN13A034_T2_R,60
10322,AN07B003,AN07B003_T2_L,11793,IN19A016,IN19A016_T3_R,60
10322,AN07B003,AN07B003_T2_L,11196,IN09A003,IN09A003_T1_R,60
10322,AN07B003,AN07B003_T2_L,10513,INXXX053,INXXX053_T3_R,60
10322,AN07B003,AN07B003_T2_L,18440,Tr flexor MN,MNfl07_VProN_R,58
10322,AN07B003,AN07B003_T2_L,13209,IN13A018,IN13A018_T2_R,58
10322,AN07B003,AN07B003_T2_L,162586,IN13A011,IN13A011_T1_R,56
10322,AN07B003,AN07B003_T2_L,21038,IN04B107,IN04B107_T3_R,55
10322,AN07B003,AN07B003_T2_L,10918,IN21A002,IN21A002_T1_R,55
10322,AN07B003,AN07B003_T2_L,10801,IN09A003,IN09A003_T3_R,54
10322,AN07B003,AN07B003_T2_L,17315,IN13A040,IN13A040_T3_R,53
10322,AN07B003,AN07B003_T2_L,10539,IN19B008,IN19B008_T2_R,53
10322,AN07B003,AN07B003_T2_L,19156,IN13A034,IN13A034_T2_R,52
10322,AN07B003,AN07B003_T2_L,19071,IN04B089,IN04B089_T2_R,51
10322,AN07B003,AN07B003_T2_L,17197,AN17B008,AN17B008_T2_R,51
10322,AN07B003,AN07B003_T2_L,10204,ps1 MN,MNwm29_MesoAN_R,51
10322,AN07B003,AN07B003_T2_L,11295,IN16B016,IN16B016_T2_R,50
10322,AN07B003,AN07B003_T2_L,11369,IN19A021,IN19A021_T2_R,49
10322,AN07B003,AN07B003_T2_L,20885,IN04B093,IN04B093_T1_R,48
10322,AN07B003,AN07B003_T2_L,11085,IN03A006,IN03A006_T2_R,46
10322,AN07B003,AN07B003_T2_L,12343,IN12B014,IN12B014_T1_R,44
10322,AN07B003,AN07B003_T2_L,23358,IN04B102,IN04B102_T2_R,43
10322,AN07B003,AN07B003_T2_L,11363,IN19A021,IN19A021_T3_R,43
10322,AN07B003,AN07B003_T2_L,10062,IN21A002,IN21A002_T2_R,42
10322,AN07B003,AN07B003_T2_L,17205,IN13A040,IN13A040_T3_R,40
10322,AN07B003,AN07B003_T2_L,16165,IN12B040,IN12B040_T3_L,40
10322,AN07B003,AN07B003_T2_L,154691,IN19B012,IN19B012_T1_L,39
10322,AN07B003,AN07B003_T2_L,15761,IN19A069,IN19A069_T1_R,39
10322,AN07B003,AN07B003_T2_L,24591,IN13B094,IN13B094_T2_L,38
10322,AN07B003,AN07B003_T2_L,11706,Ti extensor MN,MNfl39_ProLN_R,38
10322,AN07B003,AN07B003_T2_L,13006,Ti extensor MN,MNhl39_MetaLN_R,36
10322,AN07B003,AN07B003_T2_L,12099,IN08A007,IN08A007_T1_R,35
10322,AN07B003,AN07B003_T2_L,10011,hg1 MN,MNwm03_ADMN_R,35
10322,AN07B003,AN07B003_T2_L,29239,IN12B040,IN12B040_T2_L,34
10322,AN07B003,AN07B003_T2_L,11643,IN21A014,IN21A014_T2_R,34
10322,AN07B003,AN07B003_T2_L,21566,IN04B105,IN04B105_T3_R,33
10322,AN07B003,AN07B003_T2_L,23029,IN04B102,IN04B102_T1_R,32
10322,AN07B003,AN07B003_T2_L,19886,Tr flexor MN,MNfl12_ProAN_R,32
10322,AN07B003,AN07B003_T2_L,12105,IN21A015,IN21A015_T3_R,32
10322,AN07B003,AN07B003_T2_L,11920,IN18B015,IN18B015_T3_R,32
10322,AN07B003,AN07B003_T2_L,10134,IN19A008,IN19A008_T3_R,32
10322,AN07B003,AN07B003_T2_L,23376,IN04B095,IN04B095_T3_R,31
10322,AN07B003,AN07B003_T2_L,12834,AN04A001,AN04A001_T1_R,31
10322,AN07B003,AN07B003_T2_L,23044,IN13B089,IN13B089_T3_L,30
10322,AN07B003,AN07B003_T2_L,15651,IN19A071,IN19A071_T2_R,30
10322,AN07B003,AN07B003_T2_L,10191,IN19A004,IN19A004_T2_R,30
10322,AN07B003,AN07B003_T2_L,156615,IN13B084,IN13B084_T2_L,29
10322,AN07B003,AN07B003_T2_L,101117,IN03A074,IN03A074_T2_R,29
10322,AN07B003,AN07B003_T2_L,19415,IN19A108,IN19A108_T3_R,29
10322,AN07B003,AN07B003_T2_L,10352,IN19A005,IN19A005_T3_R,29
10322,AN07B003,AN07B003_T2_L,102694,IN19A022,IN19A022_T1_R,28
10322,AN07B003,AN07B003_T2_L,19751,Ta levator MN,MNfl52_ProLN_R,28
10322,AN07B003,AN07B003_T2_L,15413,IN13A040,IN13A040_T3_R,28
10322,AN07B003,AN07B003_T2_L,28560,IN04B102,IN04B102_T1_R,27
10322,AN07B003,AN07B003_T2_L,23152,IN04B093,IN04B093_T1_R,27
10322,AN07B003,AN07B003_T2_L,10398,IN14B001,IN14B001_T2_R,27
10322,AN07B003,AN07B003_T2_L,42106483966,IN12B040,IN12B040_T1_L,26
10322,AN07B003,AN07B003_T2_L,155644,IN13A050,IN13A050_T3_R,26
10322,AN07B003,AN07B003_T2_L,14283,IN09A025,IN09A025_T3_R,26
10322,AN07B003,AN07B003_T2_L,166485,IN13A050,IN13A050_T1_R,25
10322,AN07B003,AN07B003_T2_L,22591,IN13A034,IN13A034_T2_R,25
10322,AN07B003,AN07B003_T2_L,21649,IN13A050,IN13A050_T3_R,25
10322,AN07B003,AN07B003_T2_L,21120,IN04B092,IN04B092_T2_R,25
10322,AN07B003,AN07B003_T2_L,11635,IN03A007,IN03A007_T3_R,25
10322,AN07B003,AN07B003_T2_L,10643,INXXX134,INXXX134_T2_R,25
10322,AN07B003,AN07B003_T2_L,22787,IN04B097,IN04B097_T1_R,24
10322,AN07B003,AN07B003_T2_L,12194,IN21A014,IN21A014_T1_R,24
10322,AN07B003,AN07B003_T2_L,10276,IN12A001,IN12A001_T1_R,24
10322,AN07B003,AN07B003_T2_L,10207,IN19A004,IN19A004_T3_R,24
10322,AN07B003,AN07B003_T2_L,18418,IN19A108,IN19A108_T3_R,23
10322,AN07B003,AN07B003_T2_L,13805,IN05B039,IN05B039_T3_R,23
10322,AN07B003,AN07B003_T2_L,10305,IN21A001,IN21A001_T2_R,23
10322,AN07B003,AN07B003_T2_L,12490,ANXXX108,ANXXX108_T1_R,22
10322,AN07B003,AN07B003_T2_L,11297,IN21A015,IN21A015_T2_R,22
10322,AN07B003,AN07B003_T2_L,20802,IN19A080,IN19A080_T1_R,21
10322,AN07B003,AN07B003_T2_L,18341,IN19A071,IN19A071_T2_R,21
10322,AN07B003,AN07B003_T2_L,17947,Sternal posterior rotator MN,MNhl34_MetaLN_R,21
10322,AN07B003,AN07B003_T2_L,14135,IN21A017,IN21A017_A1_R,21
10322,AN07B003,AN07B003_T2_L,12443,IN09A012,IN09A012_T2_R,21
10322,AN07B003,AN07B003_T2_L,16783,IN06B017,IN06B017_T2_L,20
10322,AN07B003,AN07B003_T2_L,13288,IN12A012,IN12A012_T2_R,20
10322,AN07B003,AN07B003_T2_L,26883,Tr flexor MN,MNhl12_MetaLN_R,19
10322,AN07B003,AN07B003_T2_L,19141,IN09A026,IN09A026_T1_R,19
10322,AN07B003,AN07B003_T2_L,12977,INXXX134,INXXX134_T2_L,19
10322,AN07B003,AN07B003_T2_L,12019,IN21A014,IN21A014_T3_R,19
10322,AN07B003,AN07B003_T2_L,11100,IN03A005,IN03A005_T2_R,19
10322,AN07B003,AN07B003_T2_L,18663,IN04B081,IN04B081_T2_R,18
10322,AN07B003,AN07B003_T2_L,17375,IN09A026,IN09A026_T2_R,18
10322,AN07B003,AN07B003_T2_L,100509,IN19A015,IN19A015_T2_R,17
10322,AN07B003,AN07B003_T2_L,19755,IN13A050,IN13A050_T3_R,17
10322,AN07B003,AN07B003_T2_L,11760,IN03A006,IN03A006_T3_R,17
10322,AN07B003,AN07B003_T2_L,227258,,,16
10322,AN07B003,AN07B003_T2_L,11516,IN20A.22A001,IN20A.22A001_T3_R,16
10322,AN07B003,AN07B003_T2_L,10678,IN08A005,IN08A005_T2_R,16
10322,AN07B003,AN07B003_T2_L,27041,IN13B089,IN13B089_T3_L,15
10322,AN07B003,AN07B003_T2_L,20824,IN13A057,IN13A057_T2_R,15
10322,AN07B003,AN07B003_T2_L,10730,IN19A012,IN19A012_T2_L,15
10322,AN07B003,AN07B003_T2_L,10245,AN12B005,AN12B005_T3_L,15
10322,AN07B003,AN07B003_T2_L,19889,IN19A068,IN19A068_T2_R,14
10322,AN07B003,AN07B003_T2_L,10756,IN16B018,IN16B018_T2_L,14
10322,AN07B003,AN07B003_T2_L,10445,IN09A002,IN09A002_T1_R,14
10322,AN07B003,AN07B003_T2_L,10115,i1 MN,MNwm25_ADMN_L,14
10322,AN07B003,AN07B003_T2_L,159202,IN20A.22A053,IN20A.22A053_T2_R,13
10322,AN07B003,AN07B003_T2_L,152622,IN13A040,IN13A040_T3_R,13
10322,AN07B003,AN07B003_T2_L,102602,IN03A057,IN03A057_T2_R,13
10322,AN07B003,AN07B003_T2_L,28083,IN04B107,IN04B107_T3_R,13
10322,AN07B003,AN07B003_T2_L,23435,IN19A095,IN19A095_T2_R,13
10322,AN07B003,AN07B003_T2_L,23335,IN19A086,IN19A086_T2_R,13
10322,AN07B003,AN07B003_T2_L,21788,IN19A094,IN19A094_T2_R,13
10322,AN07B003,AN07B003_T2_L,21014,IN13A057,IN13A057_T2_R,13
10322,AN07B003,AN07B003_T2_L,20556,IN04B097,IN04B097_T2_R,13
10322,AN07B003,AN07B003_T2_L,13827,IN13A018,IN13A018_T3_R,13
10322,AN07B003,AN07B003_T2_L,13075,Ti extensor MN,MNhl39_MetaLN_L,13
10322,AN07B003,AN07B003_T2_L,12778,IN19B035,IN19B035_T3_R,13
10322,AN07B003,AN07B003_T2_L,12745,IN12B023,IN12B023_T2_L,13
10322,AN07B003,AN07B003_T2_L,11316,IN19A008,IN19A008_T1_R,13
10322,AN07B003,AN07B003_T2_L,11226,Fe reductor MN,MNfl35_ProLN_R,13
10322,AN07B003,AN07B003_T2_L,10417,AN12B001,AN12B001_T1_R,13
10322,AN07B003,AN07B003_T2_L,10144,IN19A003,IN19A003_T2_R,13
10322,AN07B003,AN07B003_T2_L,28997,Tr flexor MN,MNhl12_MetaLN_R,12
10322,AN07B003,AN07B003_T2_L,23222,IN06B082,IN06B082_T1_L,12
10322,AN07B003,AN07B003_T2_L,23153,IN13A049,IN13A049_T1_R,12
10322,AN07B003,AN07B003_T2_L,20493,IN19A100,IN19A100_T3_R,12
10322,AN07B003,AN07B003_T2_L,15503,IN03A085,IN03A085_T1_R,12
10322,AN07B003,AN07B003_T2_L,14816,IN12B023,IN12B023_T1_L,12
10322,AN07B003,AN07B003_T2_L,14085,IN19A108,IN19A108_T3_R,12
10322,AN07B003,AN07B003_T2_L,13290,IN07B033,IN07B033_T2_L,12
10322,AN07B003,AN07B003_T2_L,12159,AN06A016,AN06A016_T1_R,12
